Response,empathy_score,fluency_score,sentiment_score,empathy_score_NEW
"Hi {}, I'm CreativeBot and I'm here to share my knowledge to guide you through the SAT Approach to reactivate your childhood self and maximise your creative potential. I would love to help you today,  how are you feeling today?",1.0,0.11,0.95,1.0
"Hello {}, I am CreativeBot, my mission is to guide you through the SAT approach to reactivate your childhood self and enhance your creative potential. Are you having a good day, how are you feeling?",1.0,0.11,0.85,1.0
"{}, this is CreativeBot, my mission is to assist you through the SAT approach to reactivate your childhood self and to enhance your creative potential. How are you today?",1.0,0.06,0.66,0.0
Hello {}! My name is CreativeBot and I'm here to do what I can to guide you through the SAT approach to reactivate your childhood self and to get creative! May I know how is your day?,1.0,0.09,0.72,1.0
"Hello {}, my name is CreativeBot and I am here to do everything I could to to guide you through the SAT approach to reactivate your childhood self and to be more creative! But first, how are you feeling today?",1.0,0.1,0.69,1.0
"Hello {}, I am a creative bot, here to help to guiding you through the SAT approach to reconnect your childhood self and maximise your creeative potential, how's all going today for you?",1.0,0.03,0.81,0.0
"Hi {}, it's me, the beloved CreativeBot, my mission is to guide you through the SAT approach to reactivate your childhood self and to get creative. I'm checking to see how you are feeling today?",1.0,0.08,0.87,1.0
"Hey {}, I am CreativeBot, here to guide you through the SAT approach to reactivate your childhood self and become creative. How has your life lately been and how are feeling today?",1.0,0.06,0.71,1.0
"Hello {}, I am CreativeBot. I'm here to guide you through SAT approach to  revive your childhood self and nurture creative potential. How has your day been?",1.0,0.03,0.87,0.0
"Hi {}, I am CreativeBot, my mission is to guide you through SAT approach to  reactivate your childhood self and enhance creative potential. I am having a great day so far, and I hope that you are too. How are you feeling right now?",1.0,0.1,0.94,1.0
"I am CreativeBot and I'm here to guide you through SAT approach to  reactivate your childhood self and enhance creative potential. How has your day been treating you, {}?",1.0,0.03,0.66,0.0
"I am CreativeBot. I am here to assist you through SAT approach to  reconnect your childhood self and make you more creative. How has your day been, {}?",1.0,0.03,0.69,0.0
"I am a robot who specialises in creativity, my mission is to guide you through SAT approach to  reactivate your childhood self and maximise creative potential. How are you today, {}?",1.0,0.05,0.8,1.0
"Hello {}, this is CreativeBot, I'm here to guide you through SAT approach to  reactivate your childhood self and enhance creative potential. How are you feeling today?",1.0,0.04,0.71,1.0
"Hi {}, I am a robot specialising in creativity, you can call me CreativeBot. I'm here to guide you through SAT approach to  revive your childhood self and maximise your creative potential. How are you feeling today?",1.0,0.08,0.89,1.0
"Hello {}, this is CreativeBot, as the name sounds, I specialise in helping you to reactivate your childhood self and become more creative by guiding you through SAT approach. How are you feeling today?",1.0,0.08,0.83,1.0
,,,,0.0
"From what you have said, I feel that you are {a feeling}. Would you agree with me? (User answer yes or no)",,,,1.0
"Thank you so much for sharing with me. From your answer, it sounds like you are feeling {}, does it sound right?",1.0,0.16,0.9,0.0
"I see, thank you. From what you have told me I would say that you are feeling {} right now, does that sound about right?",1.0,0.15,0.67,0.0
"Thanks for telling me, I want to make sure I've understood correctly. I believe you're feeling {}, could you confirm that?",1.0,0.11,0.83,0.0
"I see. So you are feeling {}, is that correct?",0.0,0.06,0.51,1.0
Thank you for sharing your emotions. Am I correct in thinking that you are feeling {}?,1.0,0.12,0.82,0.0
"Thank you for that. Based on what you've said I would say you're feeling {}, are my assumptions correct?",1.0,0.09,0.67,0.0
"I believe from all you've said that you are feeling {}, is this accurate?",0.0,0.03,0.46,0.0
"Thank you, and please correct me if I am wrong. Am I correct in saying that you are feeling {} right now?",1.0,0.22,0.57,0.0
"It sounds like you are {}, is that right?",0.0,0.08,0.61,0.0
"Thank you for that. If I understand correctly you're feeling {}, is that correct?",0.0,0.1,0.67,0.0
"From listening to what you have said I take from that that you are feeling {}, is my understanding correct?",0.0,0.05,0.46,0.0
"I see, thank you for sharing. I think that you are feeling {}, would I be correct in saying that?",1.0,0.11,0.82,0.0
"From your response, it looks like you are feeling {} today, have I got that right?",0.0,0.08,0.67,0.0
"From what we've spoken about I think you're probably feeling {}, does that sound about right?",0.0,0.07,0.46,0.0
"From what you have told me it could be that you are feeling {}, would I be right to say so?",0.0,0.1,0.46,0.0
"Thank you, I just want to make sure that I have understood correctly. I think you are feeling {}, does that sound right?",1.0,0.14,0.81,0.0
"Thank you, I just want to make sure that we are on the same page. Would you say that {} best describes how you're feeling right now?",1.0,0.29,0.93,1.0
"Thank you for entrusting me by sharing how you feel. From what you have told me, I believe you are feeling {}?",1.0,0.12,0.82,0.0
"Thank you, and please forgive me if I'm wrong. I believe you are {}, am I correct in thinking that?",0.0,0.19,0.65,0.0
"I would say that you're feeling {} right now, do you think that is a reasonable description of your current mood?",1.0,0.14,0.46,0.0
"Reading what you have told me I believe that you are feeling {}, is that close enough?",0.0,0.06,0.46,0.0
Thank you for opening up to me. Am I correct in assuming that you are feeling {}?,0.0,0.13,0.67,0.0
"I think that perhaps you are feeling {}, do you think that's true?",0.0,0.06,0.7,0.0
"Listening to you, it seems that you're feeling {}, did I understand correctly?",0.0,0.05,0.46,0.0
"After listening to your concerns, I think that you are feeling {}, is this true?",0.0,0.07,0.75,0.0
"I think that you may be feeling {}, do you agree?",0.0,0.04,0.67,0.0
"Gathering everything from what you just told me, I believe you're feeling {} today, would you think it's fair to say that?",1.0,0.07,0.65,0.0
"What I am hearing is that you feel {}, is that right?",0.0,0.07,0.38,0.0
"Going off of what you have told me, it seems as though you are feeling {}, do you think this is accurate?",0.0,0.16,0.46,0.0
Thank you. Would I be correct in saying that you are feeling {}?,0.0,0.06,0.67,0.0
"Thank you for sharing. I have the impression that you are {} today, is this correct?",0.0,0.09,0.84,0.0
"Thank you, let me just double-check what you've just told me. From what I can gather you are feeling {}, is that accurate?",1.0,0.13,0.67,0.0
,,,,0.0
Apologies for my mistake. Please select the emotion that best depict your current feeling from the below choices: (User answer the correct emotion given by my choices),,,,1.0
"Forgive me, please. Without leading you, please choose how you feel from the list I'm giving you.",0.0,0.12,0.75,1.0
"Oh, I am sorry, I must have misunderstood then. Could you please tell me how you are feeling by selecting from the list below:",1.0,0.32,0.4,0.0
"Oh, I'm so sorry, I appreciate you telling me I've got it wrong - sometimes it can be hard. Can you give me a bit of help to make sure I do understand? Here's a list - please let me know which one describes what you're feeling:",1.0,0.36,0.81,0.0
"Oh, my bad. So how would you say you are feeling today?",0.0,0.26,0.1,0.0
"Oh, I'm sorry I misunderstood your emotion. Perhaps you might describe your current emotion as one of these on the list?",1.0,0.11,0.13,0.0
I'm so sorry. How are you feeling? Could you please select it from the list below?,0.0,0.31,0.62,0.0
So sorry. Kindly select how you're feeling from the emotions below:,0.0,0.05,0.71,0.0
"I'm sorry, sometimes it's hard to know how someone is feeling behind a keyboard. Instead, do you mind choosing an emotion from this list which is more suitable for your current state?",1.0,0.19,0.35,0.0
"I'm sorry, I must have misread the situation. Please tell me, how are you feeling?",0.0,0.5,0.45,0.0
"Oh, sorry. Could you select which emotion are you feeling, or the one that is closest to it?",0.0,0.23,0.42,0.0
I am sorry I misunderstood that. Could I ask that you choose from the list below the emotion that more accurately captures how you are feeling?,1.0,0.12,0.2,1.0
I'm very sorry for that. Would you be able to highlight the emotion that you are feeling right now from the ones below?,1.0,0.21,0.58,0.0
"Oh no, I seem to have misunderstood, I'm sorry about that. Let me try again: please take a look at the list below and choose which emotion best represents your feelings today.",1.0,0.25,0.75,0.0
"I'm sorry, I must have misunderstood. Please choose from the emotions below the one which best reflects how you're feeling.",1.0,0.13,0.79,0.0
"Forgive me, please. Without leading you, please choose how you feel from the list I'm giving you.",0.0,0.12,0.75,0.0
"Oh no, I am so sorry. Please, if you don't mind, select how you are feeling from this list:",0.0,0.3,0.59,1.0
Sorry for the misunderstanding. Which of the following would you say is closest to how you are currently feeling?,0.0,0.24,0.14,0.0
I am sorry for the misunderstanding. Please correct me by selecting from the emotions below the one that reflects what you are feeling:,1.0,0.13,0.34,0.0
"Ah, I apologise. Which of the emotions on this list best describes what you are experiencing?",0.0,0.1,0.87,0.0
I am sorry that I got that wrong. Perhaps one of the following emotions would describe it more accurately?,0.0,0.15,0.05,0.0
"Oh, I'm so sorry I've misunderstood you. From the emotions listed, could you please choose the one that best defines your current feeling?",1.0,0.16,0.73,0.0
I deeply apologise. Please select an emotion from the list below that best describes the way you are feeling:,1.0,0.14,0.94,1.0
"I am so sorry, my bad. Which of these emotions are you feeling current, in your opinion?",0.0,0.12,0.0,0.0
My apologies for the misunderstanding. It would be really helpful if you could select an emotion below that truly reflects how you are feeling.,1.0,0.19,0.74,0.0
I'm sorry for misunderstanding how you are feeling. Please tell me how you are feeling so that I can understand better.,1.0,0.39,0.68,1.0
Sorry for the misunderstanding. What emotion would you say you are feeling at the moment?,0.0,0.22,0.14,0.0
"I'm sorry, maybe I'm not the best at reading people. How are you feeling today if you don't mind me asking, could you please select from the list below what you feel is closest to your current mood?",1.0,0.35,0.25,1.0
"Oh my apologies, I have misunderstood. Please choose the emotion that you identify with:",0.0,0.08,0.37,0.0
"I am sorry, perhaps I misunderstood how you are feeling. I think it might be best if you could pick out the emotion that you feel represents your case the best:",1.0,0.16,0.89,1.0
"Oh, I'm sorry. Could you please let me know how you are feeling:",0.0,0.57,0.61,1.0
"My apologies, I must be mistaken then. Please tell me, which of these emotions below are you experiencing?",1.0,0.1,0.35,1.0
"Sorry, I got the wrong end of the stick. If you look at this list, you can point out which emotion you are feeling, then there will be no misunderstanding.",1.0,0.28,0.29,0.0
,,,,0.0
"Fantastic, I believe you are in the mood to hear some exciting news! Everyone can become creative. You just need to believe in yourself and pursue whatever excites you to achieve optimal creative performance. (User click continue)",,,,0.0
"Great, I think you are ready to hear some exciting news. That is, everyone can become creative. You must believe in yourself and you will be able to achieve your creative potential. ",1.0,0.21,0.97,0.0
"That's amazing, good for you! I have some great news, everyone has the potential to be creative and I can see that you have lots of potentials. Aim high and you can achieve great things!",1.0,0.21,0.99,0.0
"Great to hear that, you know you can be more creative than any other person. You have the potential.",0.0,0.29,0.89,1.0
It sounds like you're in the mood to hear some exciting news! Self-belief leads to creativity and you are the ideal person to become creative.,1.0,0.17,0.97,0.0
That's great! It sounds like you are ready to start. I genuinely believe that everyone has the capacity to be creative; all you need to do is believe in yourself and go for it.,1.0,0.4,0.95,0.0
"Fantastic, sounds like you're in the right mood to hear some exciting news! You and everyone can achieve great creativeness! The key is to take a deep dive into your inner self, believe me, you'll be amazed at the level of creativity you'd be able to achieve!",1.0,0.23,0.99,0.0
"Great, I bet you are in the mood to hear some exciting news! Everyone can become creative. If you're interested, I'd like to help you to believe in yourself and pursue whatever excites you, so you can achieve optimal creative performance. ",1.0,0.18,1.0,1.0
"I have amazing news to add on, ready? Believe this, you can get super creative when you do what's good for your soul then when you feel all recharged you can take on anything in your way!",0.0,0.07,0.98,0.0
"Fantastic, are you ready to hear some exciting news? Everyone can become creative. It's all about believing in yourself and following whatever drives you to become creative. ",1.0,0.14,0.97,0.0
"Good to hear it, I hope you're ready for some great news! In my experience, everyone can become creative. All you need to do is follow your passion and soon you'll be experiencing the creativity that we know you have.",1.0,0.32,0.99,0.0
"Great stuff! Here is some news, always remember to tap into your potential so that whatever you do can always be your best, and everyone can become creative!",0.0,0.1,0.96,0.0
"All I see is good news for you, I think you are ready to hear some exciting news. Everyone can become creative, you must believe in yourself and you will be able to achieve your creative potential.",1.0,0.24,0.96,0.0
"Great, I think you are ready to hear some exciting news, that is, everyone can become creative. You must believe in yourself and you will be able to reach your creative potential.",1.0,0.24,0.97,0.0
"I have some great news, everyone has the potential to be creative, and I can see that you have lots of potentials, aim high and you can achieve great things!",0.0,0.18,0.95,0.0
"That is amazing, good for you! I have some amazing news, everyone has the potential to be creative and I can see that you have lots of potentials. Aim high and you can achieve great things!",1.0,0.19,0.98,0.0
"Great to hear this, you know you can be more creative than any other person, and you have the potential to be a great person.",0.0,0.41,0.95,0.0
"I feel great to hear that, as you know that you can be more creative than any other person, you have the potential.",0.0,0.24,0.89,0.0
It sounds like you are in the mood to hear some exciting news! Self-belief leads to creativity and you are the perfect person to become creative.,1.0,0.19,0.97,0.0
"Perfect, it sounds like you are ready to start. I honestly believe that everyone has the capacity to be creative; all you need to do is believe in yourself and go for it.",1.0,0.41,0.96,1.0
"That sounds great. For your information, I truly believe that everyone has the capacity to be creative. All you need to do to believe in yourself and go for it.",0.0,0.28,0.93,1.0
That sounds great and sounds like you are ready for the great part. I truly believe that everyone has the ability to be creative. All you need to do is believe and go for it.,1.0,0.36,0.99,0.0
"I love that you are in the right mood to hear the exciting news! Everyone can achieve great creativeness, take a deep dive into your inner self-believe! You'll be amazed at the creativity you'd be able to achieve!",1.0,0.15,0.99,1.0
"Great news! Sounds like you are in the right mood to hear some exciting news! You and everyone can achieve great creativity! The key is to take a deep dive into your inner self and self-belief, and you'll be amazed at the level of creativity you'd be able to achieve!",1.0,0.26,0.99,0.0
"Great, I bet you are in the mood to hear some exciting news! Everyone can be creative and pursue whatever excites you, so you can achieve optimal creative performance.",1.0,0.12,0.98,0.0
"Good, I bet you are in the mood to hear some exciting news! Everyone can become creative, and I would like you to believe in yourself and pursue whatever excites you so that you can achieve optimal creativity!",1.0,0.17,0.99,1.0
"Believe this, you can get super creative when you do what's good for your soul and then when you are all recharged you can take on anything in your way.",0.0,0.16,0.93,1.0
"Great, here's a catch, everyone can become creative. It's all about acting in yourself and following whatever drives you to become creative.",0.0,0.11,0.93,0.0
"Good to hear about it, I hope you're ready for some great news - everyone can be creative. All it takes is to believe in your passion and soon, you can experience the creativity that we know you have.",1.0,0.21,0.99,0.0
"Good to hear it, I hope you're ready for the great news! In my experience, everyone can become creative, all you need to do is follow your passion and soon you will discover the creativity we know you have.",1.0,0.24,0.99,1.0
"Great stuff, here is some news! Remember to always tap into your potential so that whatever you do can always be your best so everyone can be creative!",0.0,0.1,0.96,0.0
Here is some great stuff! Remember to always tap into your potential so that whatever you do can always be your best and everyone can become creative!,0.0,0.11,0.96,0.0
"Fantastic, I believe you are in the mood to hear some exciting news! Everyone can become creative. You just need to believe in yourself and pursue whatever excites you to achieve optimal creative performance.",1.0,0.13,0.98,1.0
,,,,0.0
"I am sorry to hear that, cheer up, I have some great news! Everyone can become creative. What you need is some faith in yourself and pursue whatever excites you to attain optimal creative performance. (User answer continue)",,,,0.0
"I send my sincere apologies to hear that. However, I have great news. Everyone can become creative as long as you have some faith in yourself and realise your creative potential. ",1.0,0.13,0.97,1.0
"Oh, I'm sorry to hear that. That must be difficult for you, but think of it this way - I can help you to be more creative! If you believe in yourself you can unleash your true potential!",1.0,0.38,0.95,0.0
"Don't feel bad, there must be something to cheer you up. I have some wonderful news everyone can become creative.",0.0,0.13,0.96,0.0
"That doesn't sound great, sorry it's not going well. Perhaps trying to be more creative could be a way to find something to make your mood a bit better? A good place to start is with some self-belief.",1.0,0.28,0.78,0.0
"That's a shame, I'm sorry to hear that. I'm here to help you feel better. Honestly, everyone can become creative - I'll do my best to help your confidence to grow so you can have the best chance.",1.0,0.33,0.99,0.0
"I hear you, and I'm sorry to hear that, but do cheer up! I have more great news, having faith in yourself is all you need to achieve great creativity!",0.0,0.09,1.0,0.0
"Oh, that's a pity - hopefully, I can cheer you up with some great news! Everyone can become creative. If you're interested, I'd like to help you to have faith in yourself and pursue whatever excites you to attain optimal creative performance.",1.0,0.13,1.0,0.0
"That sucks, but tell you what, anyone and everyone can get creative. Only you can bring your imagination to life and that's your power.",0.0,0.18,0.68,1.0
"I am sorry to hear that, you can become creative, let's see if we can work out what inspires you and drives your creative performance. ",0.0,0.15,0.89,0.0
"I'm sorry to hear that but I have some great news for you. So long as you believe in yourself and pursue the things that excite you, creative performance is closer than you think.",0.0,0.27,0.97,0.0
"So sorry to hear this. Hopefully, this awesome news will cheer you up. Everyone can become creative, just give 100% in everything you do and you will see the rewards just piling up.",1.0,0.14,0.98,0.0
"I am so sorry to hear the news, but I do have some exciting news for you now. Everyone can become creative. You must believe in yourself and that will help you achieve your creative potential. ",1.0,0.25,0.98,0.0
"Sorry to hear that. But don't worry, I have amazing news! I can help you become more creative, I believe you have great potential!",1.0,0.23,1.0,0.0
"I'm sorry to hear that. Cheer up, you can keep up the minimum level of being creative easily.",0.0,0.09,0.89,0.0
"Sorry to hear that, it doesn't sound like a good day. You could build on your self-belief and seek to become more creative which might boost your mood, you can try any activities you enjoy as a way to achieve this.",1.0,0.21,0.92,0.0
"I'm sorry to hear that and I'm here to help you feel better. Honestly, everyone can become creative and I'll help you grow your confidence so that you can have the best chance.",1.0,0.3,0.99,0.0
"Yes, I understand. But I bring some great news, you'll be able to achieve the creativity you seek if you just believe in your abilities. That's all you need!",0.0,0.21,0.97,0.0
"How sad, hopefully, with some great news, I can cheer you up! Everyone can become creative, I'd like you to have faith in yourself and pursue whatever you find inspiring to attain optimal creative performance.",1.0,0.08,0.99,0.0
"My sympathies. Check this out, though. You can get creative, just do what you enjoy and slowly that joy becomes the fuel to your creativity.",0.0,0.1,0.95,1.0
"I am sorry to hear that, but everyone can become creative. Let's see if we can work out what inspires you and drives your creative performance. ",0.0,0.19,0.95,0.0
"That's too bad but cheer up, I have great news. Pretty much anyone can become creative. All you need to do is have faith in yourself and pursue the things that you get excited about.",1.0,0.22,1.0,1.0
I apologize but have great news to hear that people can become creative as long as they have faith in themselves and realise their creative potential.,0.0,0.09,0.99,0.0
"Oh, I am sorry to hear it, that must be difficult for you, but think of it this way - I can help you to be more creative! If you believe in yourself you can unleash your true potential!",1.0,0.32,0.95,0.0
"Feel not bad, there must be something to cheer you up, I have some wonderful news that everyone can become creative.",0.0,0.11,0.96,0.0
"It's a shame, sorry to hear it, I'm here to help you feel better. Not gonna lie, everyone can become creative and I'll do my best to help your confidence grow so you can have the best chance of it.",1.0,0.3,0.99,0.0
"I hear you and I'm sorry to hear that, but do cheer up, I have some great news! Everyone can become creative and having faith in yourself is all you need to achieve great creativity!",0.0,0.13,1.0,0.0
I hope that I can cheer you up with some great news! Everyone can become creative and I'd like you to have faith in yourself and pursue whatever excites you to achieve optimal creative performance.,1.0,0.12,1.0,0.0
"That stinks, but tell you what, anyone and everyone can get creative. You can only bring your imagination to life and that's your power.",0.0,0.2,0.71,0.0
"I'm sorry to hear that, but I have some great news for you. As long as you believe in yourself and pursue the things that excite you, creative performance is closer than you think.",1.0,0.34,0.97,0.0
"Don't worry, I have amazing news that can help you become more creative, I believe you have great potential!",0.0,0.22,0.98,0.0
"That is too bad, but cheer up, I have great news. Pretty much anyone can become creative. All you need is to have faith in yourself and do the things you get excited about.",1.0,0.25,1.0,0.0
"I am sorry to hear that, cheer up, I have some great news! Everyone can become creative. What you need is some faith in yourself and pursue whatever excites you to attain optimal creative performance.",1.0,0.1,0.99,0.0
,,,,0.0
Do you currently have a creative domain in mind? (User answer yes or no),,,,0.0
"Can you think of a creative field that you are passionate about, like sports, music or natural science? Imagine something that fills you with that burning desire! Tell me more!",1.0,0.18,0.96,0.0
"Can you imagine a creative domain you feel like doing? Like a profession you love, your favourite hobby, or even a cool hobby you'd like to take up. Feel free to choose something that gets your heart excited!",1.0,0.13,1.0,1.0
"Do you actively have a creative domain in mind? For example, something you enjoy doing like sports, music or natural science.",0.0,0.09,0.95,0.0
"Do you have a creative area in mind at the moment? It could be anything like sports, music or natural science, in fact, the weirder the better!",0.0,0.2,0.92,1.0
"Do you have a creative field in mind right now? It could be a professional industry, a hobby, or anything else you can think of. There are tons of options to choose from, I'm sure you'll be able to think of one!",1.0,0.51,0.8,0.0
"At the moment can you think of something creative that is something you like to do, like sports, music or natural science? It could be anything that makes you happy or that you're interested in.",0.0,0.25,0.97,0.0
"A creative domain may include your favourite hobbies or your profession of choice - tell me, can you think of a creative domain that interests you? Unfortunately, my only hobby is eating snacks and watching TV!",1.0,0.09,0.82,0.0
"Do you currently have a creative domain in mind? It might be something you love, that you do every day or every once in a while, or something that just makes you happy.",1.0,0.36,0.94,1.0
"Is there a creative field you are currently thinking about? This might be something you care about deeply, something you've always wanted to do, or potentially a hobby you have had since childhood like sports, music or natural science? For example, my hobby is to make you more creative - very meta of me, isn't it.",1.0,0.13,0.97,1.0
"Is there something where you feel you can be creative? Maybe a hobby like sports, music or natural science. As odd as it sounds my hobby is to help you be creative.",0.0,0.12,0.94,0.0
"Do you currently have a creative domain in mind? It could be anything like sports, music or natural science, even kitten wrestling!",0.0,0.06,0.89,0.0
"Would you be able to think of a creative domain you love now, like sports, music or natural science? Whatever comes to mind, I'm here to help you.",0.0,0.18,0.97,0.0
"Do you currently have a creative field in mind? It could be a profession you are passionate about, or it could be a hobby you've always had, like sports, music or natural science. You may be shocked, but my hobby is to make you more creative.",1.0,0.26,0.92,0.0
"Are you aware of a creative field you are passionate about, like sports, music or natural science? Imagine something that fills you with a burning desire - tell me more about it!",1.0,0.2,0.96,0.0
"Can you imagine a creative domain you feel like doing, like sports, music or natural science? Like a profession you love, your favourite hobby or even a cool hobby you'd like to take up - choose something that gets your heart pumped up.",1.0,0.09,0.99,0.0
"Can you imagine a creative domain you want to be doing like sports, music or natural science, a profession you love or would love to be in or your favourite hobby, or even a cool hobby you want to take up your heart?",0.0,0.12,0.99,0.0
"Do you actively have a creative domain in mind, for example, something you love doing like sports, music or natural science?",0.0,0.1,0.96,0.0
"Do you have a creative field in mind at the moment? It could be anything like sports, music or natural science, in fact, the wackier the better it can be!",0.0,0.21,0.93,0.0
"Do you have a creative area in mind at the moment? It could be anything like sports, music or natural science: the weirder the better!",0.0,0.18,0.92,0.0
"Do you have a creative field in mind right now? It could be a professional field, a hobby or something else you can think of; there are tons of options to choose from, I'm sure you'll be able to think of one!",1.0,0.42,0.8,0.0
"Do you have a creative field in mind right now? It could be a professional field, a hobby like sports, music or natural science, or anything else you can think of. There are tons of options to choose from, I'm sure you can think of one!",1.0,0.39,0.92,0.0
"Could you think at the moment of something creative that is something that makes you happy or that you're interested in doing, like sports, music or natural science? It could be anything that makes you happy or something that makes you happy or something that makes you happy or interested in.",0.0,0.28,1.0,1.0
"At the moment, can you think of something creative that you like to do, like sports, music or natural science? It could be anything that makes you happy or something that you're interested in doing that makes you happy at the moment.",1.0,0.34,0.99,0.0
"A creative field may include your favourite hobbies, like sports, music or natural science, or even your profession - tell me, can you think of a creative field that interests you?",1.0,0.14,0.94,1.0
"Do you currently have a creative domain in mind? It might be something that you love, that you do daily or every once in a while or something that makes you happy like sports, music or natural science.",1.0,0.23,0.97,0.0
"Is there a creative field you are currently thinking about? This might be something you know deeply, something you've always wanted to do, or possibly you've had a hobby since childhood like sports, music or natural science.",1.0,0.18,0.88,0.0
"Is there a creative field you presently are thinking about? This could be something you care about deeply, something you've always wanted to do, or perhaps a hobby you've had since childhood like sports, music or natural science.",1.0,0.2,0.93,0.0
"Has there something where you feel you can be creative? Maybe a sport or a hobby like sports, music or natural science. As odd as it sounds my hobby is to help you be creative.",0.0,0.12,0.94,0.0
"Do you currently have a creative field in mind? It could be a profession you are passionate about, or it could be a hobby you've always had like sports, music or natural science, but my hobby is to make you more creative.",1.0,0.22,0.93,0.0
"Can you picture a creative domain you feel like pursuing? Like a profession you love, your favourite hobby or even a cool hobby you'd like to take up - choose something that gets your heart excited.",1.0,0.09,0.99,0.0
,,,,0.0
Please grab a happy childhood photo and recall those memories. Could you think of a creative domain you like pursuing upon recalling those memories? (User answer yes or no),,,,0.0
"Tell me about your favourite childhood photo! Describe it, and the emotions that it makes you feel. Do these feelings give you a creative field to pursue?",1.0,0.18,0.69,1.0
"Look back at your childhood pictures, choose a really happy one, and think back on the wonderful moment that it came from. Let yourself feel like that happy kid again, with ice cream all over your face, or a dog climbing all over you. Does it inspire you to start doing something in a creative domain that you like?",1.0,0.14,0.99,0.0
Please grab a happy childhood photo and recall those memories. Children tend to have many hobbies and activities they enjoy doing. Could you think of a creative domain through these memories?,0.0,0.08,0.95,1.0
"Grab a childhood photo that brings back happy memories. Can you think of any activities did you enjoy as a child? I know it sounds strange, but those activities could give you an idea for a creative field to pursue!",1.0,0.15,0.89,0.0
"Please grab a happy photo from your childhood and think about the memories that come with it. Can you think of any creative field you'd like to pursue when you think about those memories? Lots of people are at their most creative when they were kids, so I'm sure you'll be able to think of something.",1.0,0.33,0.98,0.0
Grab any photos from your childhood that put you in a good mood. Are there any particularly happy memories you recalled linked to this and does this perhaps link to a creative field you would enjoy?,0.0,0.09,0.96,0.0
"Go ahead and grab a happy childhood photo now, do your best to recall those memories - they may just help you in your quest to find your domain. When you are ready, tell me, were you able to think of a creative field that you would like to pursue when you recall those childhood memories?",1.0,0.18,0.98,1.0
Please grab a happy childhood photo and recall those memories. Remember how you felt at that moment. Could you think of a creative field you feel like pursuing by recalling those memories?,1.0,0.07,0.94,0.0
"Grab a happy childhood photo and think about the memories associated with it. I understand that you might not want to remember that cheeky grin, but it might help you to think of a creative field. Can you visualize a creative domain you love when you recall those childhood memories?",1.0,0.14,0.99,1.0
Have yourself a happy childhood photo. What memories does it bring back? Does it help you to think of a creative domain you like to pursue?,0.0,0.13,0.95,0.0
Please find a childhood photo and recall those memories. Could you think of a creative domain you would be interested in after recalling those memories?,0.0,0.06,0.88,0.0
Fire your imagination by looking at happy childhood pics. Be that child again. Are you inspired by reliving your games when recalling those memories and can think of a creative field you like to pursue?,1.0,0.06,0.93,0.0
Please grab a happy childhood photo and recall those memories. I have heard that children tend to explore a range of activities. Could you think of a creative field you feel like pursuing by recalling those memories?,1.0,0.07,0.94,0.0
